City,Temperature (F),Humidity (%),Condition,Sunrise,Sunset
New York,83.93,73,Broken clouds,05:37 AM,08:25 PM

Date,Time,Temp (F),Condition
2025-07-16,00:00:00,83.93,broken clouds
2025-07-16,03:00:00,81.95,broken clouds
2025-07-16,06:00:00,78.42,scattered clouds
2025-07-16,09:00:00,76.01,clear sky
2025-07-16,12:00:00,80.11,clear sky
2025-07-16,15:00:00,86.02,few clouds
2025-07-16,18:00:00,88.7,scattered clouds
2025-07-16,21:00:00,87.6,overcast clouds
2025-07-17,00:00:00,84.47,overcast clouds
2025-07-17,03:00:00,81.7,light rain
2025-07-17,06:00:00,79.99,overcast clouds
2025-07-17,09:00:00,78.26,light rain
2025-07-17,12:00:00,77.58,overcast clouds
2025-07-17,15:00:00,86.23,overcast clouds
2025-07-17,18:00:00,92.66,overcast clouds
2025-07-17,21:00:00,90.9,overcast clouds
2025-07-18,00:00:00,88.75,overcast clouds
2025-07-18,03:00:00,85.24,scattered clouds
2025-07-18,06:00:00,82.27,broken clouds
2025-07-18,09:00:00,78.67,scattered clouds
2025-07-18,12:00:00,74.32,scattered clouds
2025-07-18,15:00:00,80.73,scattered clouds
2025-07-18,18:00:00,86.52,broken clouds
2025-07-18,21:00:00,87.39,overcast clouds
2025-07-19,00:00:00,83.21,overcast clouds
2025-07-19,03:00:00,78.91,clear sky
2025-07-19,06:00:00,75.6,clear sky
2025-07-19,09:00:00,71.49,clear sky
2025-07-19,12:00:00,72.54,clear sky
2025-07-19,15:00:00,80.82,broken clouds
2025-07-19,18:00:00,85.55,broken clouds
2025-07-19,21:00:00,84.54,overcast clouds
2025-07-20,00:00:00,79.12,broken clouds
2025-07-20,03:00:00,76.66,clear sky
2025-07-20,06:00:00,75.25,clear sky
2025-07-20,09:00:00,73.4,broken clouds
2025-07-20,12:00:00,75.45,scattered clouds
2025-07-20,15:00:00,82.54,scattered clouds
2025-07-20,18:00:00,84,scattered clouds
2025-07-20,21:00:00,82.49,scattered clouds
