City,Temperature (F),Humidity (%),Condition,Sunrise,Sunset
Texas,91.35,46,Clear sky,07:55 AM,09:30 PM

Date,Time,Temp (F),Condition
2025-08-05,00:00:00,91.35,light rain
2025-08-05,03:00:00,86.05,light rain
2025-08-05,06:00:00,78.89,broken clouds
2025-08-05,09:00:00,71.37,broken clouds
2025-08-05,12:00:00,68.09,scattered clouds
2025-08-05,15:00:00,81.45,few clouds
2025-08-05,18:00:00,90.01,clear sky
2025-08-05,21:00:00,94.86,clear sky
2025-08-06,00:00:00,91.98,clear sky
2025-08-06,03:00:00,83.14,clear sky
2025-08-06,06:00:00,79.95,clear sky
2025-08-06,09:00:00,76.55,clear sky
2025-08-06,12:00:00,74.19,clear sky
2025-08-06,15:00:00,83.77,clear sky
2025-08-06,18:00:00,92.05,clear sky
2025-08-06,21:00:00,95.85,clear sky
2025-08-07,00:00:00,93.92,clear sky
2025-08-07,03:00:00,84.22,clear sky
2025-08-07,06:00:00,81.43,clear sky
2025-08-07,09:00:00,78.08,clear sky
2025-08-07,12:00:00,75.65,clear sky
2025-08-07,15:00:00,85.06,clear sky
2025-08-07,18:00:00,93.45,clear sky
2025-08-07,21:00:00,96.87,clear sky
2025-08-08,00:00:00,94.73,clear sky
2025-08-08,03:00:00,84.92,clear sky
2025-08-08,06:00:00,82.85,clear sky
2025-08-08,09:00:00,77.97,clear sky
2025-08-08,12:00:00,75.9,clear sky
2025-08-08,15:00:00,86.05,clear sky
2025-08-08,18:00:00,95.04,clear sky
2025-08-08,21:00:00,98.31,clear sky
2025-08-09,00:00:00,95.83,clear sky
2025-08-09,03:00:00,85.8,clear sky
2025-08-09,06:00:00,81.54,clear sky
2025-08-09,09:00:00,78.15,clear sky
2025-08-09,12:00:00,76.01,clear sky
2025-08-09,15:00:00,85.15,clear sky
2025-08-09,18:00:00,94.96,clear sky
2025-08-09,21:00:00,98.29,clear sky
