City,Temperature (F),Humidity (%),Condition,Sunrise,Sunset
mexico,78.26,94,Overcast clouds,05:37 PM,06:29 AM

Date,Time,Temp (F),Condition
2025-07-25,00:00:00,79.27,light rain
2025-07-25,03:00:00,79.43,light rain
2025-07-25,06:00:00,79.39,light rain
2025-07-25,09:00:00,78.15,light rain
2025-07-25,12:00:00,79.23,moderate rain
2025-07-25,15:00:00,78.37,light rain
2025-07-25,18:00:00,77.54,light rain
2025-07-25,21:00:00,77.67,light rain
2025-07-26,00:00:00,82.42,overcast clouds
2025-07-26,03:00:00,85.14,light rain
2025-07-26,06:00:00,85.53,light rain
2025-07-26,09:00:00,82.98,light rain
2025-07-26,12:00:00,78.04,light rain
2025-07-26,15:00:00,77.59,light rain
2025-07-26,18:00:00,76.84,light rain
2025-07-26,21:00:00,76.19,light rain
2025-07-27,00:00:00,82.56,light rain
2025-07-27,03:00:00,84.97,light rain
2025-07-27,06:00:00,86.14,light rain
2025-07-27,09:00:00,82.33,light rain
2025-07-27,12:00:00,78.73,light rain
2025-07-27,15:00:00,78.39,moderate rain
2025-07-27,18:00:00,78.6,moderate rain
2025-07-27,21:00:00,78.6,light rain
2025-07-28,00:00:00,81.45,light rain
2025-07-28,03:00:00,83.46,light rain
2025-07-28,06:00:00,82.38,moderate rain
2025-07-28,09:00:00,80.13,moderate rain
2025-07-28,12:00:00,79,moderate rain
2025-07-28,15:00:00,78.67,moderate rain
2025-07-28,18:00:00,78.64,moderate rain
2025-07-28,21:00:00,78.76,light rain
2025-07-29,00:00:00,81.39,light rain
2025-07-29,03:00:00,84.42,light rain
2025-07-29,06:00:00,84.22,moderate rain
2025-07-29,09:00:00,80.98,light rain
2025-07-29,12:00:00,79.36,light rain
2025-07-29,15:00:00,78.93,light rain
2025-07-29,18:00:00,78.91,light rain
2025-07-29,21:00:00,79.16,light rain
