City,Temperature (F),Humidity (%),Condition,Sunrise,Sunset
new york,88.79,64,Scattered clouds,05:38 AM,08:25 PM

Date,Time,Temp (F),Condition
2025-07-16,18:00:00,88.66,scattered clouds
2025-07-16,21:00:00,88.75,light rain
2025-07-17,00:00:00,84.65,broken clouds
2025-07-17,03:00:00,78.53,light rain
2025-07-17,06:00:00,75.43,light rain
2025-07-17,09:00:00,76.68,overcast clouds
2025-07-17,12:00:00,75.76,light rain
2025-07-17,15:00:00,86.02,broken clouds
2025-07-17,18:00:00,92.7,broken clouds
2025-07-17,21:00:00,93.58,scattered clouds
2025-07-18,00:00:00,88.88,scattered clouds
2025-07-18,03:00:00,84.51,few clouds
2025-07-18,06:00:00,81.54,light rain
2025-07-18,09:00:00,76.32,overcast clouds
2025-07-18,12:00:00,74.35,broken clouds
2025-07-18,15:00:00,80.46,scattered clouds
2025-07-18,18:00:00,86.5,scattered clouds
2025-07-18,21:00:00,84.33,overcast clouds
2025-07-19,00:00:00,83.14,broken clouds
2025-07-19,03:00:00,79.57,clear sky
2025-07-19,06:00:00,76.6,clear sky
2025-07-19,09:00:00,73.6,clear sky
2025-07-19,12:00:00,75.18,few clouds
2025-07-19,15:00:00,84.16,few clouds
2025-07-19,18:00:00,85.33,broken clouds
2025-07-19,21:00:00,82.94,overcast clouds
2025-07-20,00:00:00,80.11,overcast clouds
2025-07-20,03:00:00,78.89,overcast clouds
2025-07-20,06:00:00,77.2,overcast clouds
2025-07-20,09:00:00,75.58,light rain
2025-07-20,12:00:00,77.05,light rain
2025-07-20,15:00:00,82.8,moderate rain
2025-07-20,18:00:00,83.59,moderate rain
2025-07-20,21:00:00,79.57,moderate rain
2025-07-21,00:00:00,80.56,light rain
2025-07-21,03:00:00,74.61,overcast clouds
2025-07-21,06:00:00,72,broken clouds
2025-07-21,09:00:00,70.03,scattered clouds
2025-07-21,12:00:00,71.82,broken clouds
2025-07-21,15:00:00,78.6,broken clouds
