City,Temperature (F),Humidity (%),Condition,Sunrise,Sunset
texas,91.35,38,Clear sky,07:48 AM,09:38 PM

Date,Time,Temp (F),Condition
2025-07-24,00:00:00,91.35,clear sky
2025-07-24,03:00:00,89.33,clear sky
2025-07-24,06:00:00,83.37,clear sky
2025-07-24,09:00:00,76.37,clear sky
2025-07-24,12:00:00,74.12,clear sky
2025-07-24,15:00:00,83.21,clear sky
2025-07-24,18:00:00,93.67,clear sky
2025-07-24,21:00:00,97.29,clear sky
2025-07-25,00:00:00,95.49,clear sky
2025-07-25,03:00:00,84.33,clear sky
2025-07-25,06:00:00,81.97,clear sky
2025-07-25,09:00:00,76.39,clear sky
2025-07-25,12:00:00,74.66,clear sky
2025-07-25,15:00:00,85.1,few clouds
2025-07-25,18:00:00,94.78,scattered clouds
2025-07-25,21:00:00,97.61,clear sky
2025-07-26,00:00:00,94.62,clear sky
2025-07-26,03:00:00,82.78,few clouds
2025-07-26,06:00:00,77.58,few clouds
2025-07-26,09:00:00,74.89,overcast clouds
2025-07-26,12:00:00,72.86,overcast clouds
2025-07-26,15:00:00,79.12,broken clouds
2025-07-26,18:00:00,87.73,scattered clouds
2025-07-26,21:00:00,90.19,scattered clouds
2025-07-27,00:00:00,83.77,broken clouds
2025-07-27,03:00:00,81.01,overcast clouds
2025-07-27,06:00:00,78.78,broken clouds
2025-07-27,09:00:00,74.86,few clouds
2025-07-27,12:00:00,72.48,few clouds
2025-07-27,15:00:00,80.24,clear sky
2025-07-27,18:00:00,89.67,clear sky
2025-07-27,21:00:00,94.44,few clouds
2025-07-28,00:00:00,91.15,few clouds
2025-07-28,03:00:00,84.07,clear sky
2025-07-28,06:00:00,80.53,clear sky
2025-07-28,09:00:00,74.79,clear sky
2025-07-28,12:00:00,70.03,clear sky
2025-07-28,15:00:00,79.88,few clouds
2025-07-28,18:00:00,89.01,clear sky
2025-07-28,21:00:00,93.69,clear sky
